Melanocytic,Transitory-Melanocytic,Transitory,Neural crest-like-Transitory,Neural crest-like,Undifferentiated-Neural crest-like,Undifferentiated
ABCB5,ACP5,ALDH1A1,ABCA8,ABCA6,ABCC3,ABCG2
ABCD1,ADCY1,ANO4,AGMO,AIM2,AKR1C3,ACSL5
ADAM23,ADGRG1,BCHE,ALDH1A3,ANGPTL4,ANTXR2,ADAMTSL1
ADCY2,GRK3,COL11A2,BAALC,BST1,ANXA1,AJUBA
ANKRD30B,ANK2,COL9A1,CADM4,CACNA2D3,ARL4C,AMIGO2
APOLD1,APOC1,CX3CL1,COL4A1,CADM1,ARNTL2,ANKRD1
ATP6V0D2,APOE,EBF3,CRIP2,CADM3,AXL,AR
C2orf88,ASAH1,FXYD3,EPHB3,CCL2,BMP2,ARHGAP29
CAPG,ASB2,GDF11,FREM1,CD96,C12orf75,ODAD2
CCDC171,ATP10A,LRRTM4,FREM2,CEMIP,CCDC9B,ATP8B1
CCL18,ATP6V0A4,LSAMP,GAS7,CHST1,BMERB1,BASP1
CDH1,BCAS3,MAMDC2,GRIK2,CHST2,CARD10,BDNF
CDH3,BCL2A1,MCAM,LAMA4,CSRP2,CAV1,BNC1
CEACAM1,BEST1,MMP15,LGI4,CTSS,CD163L1,BTBD11
CFAP61,BIRC7,NELL1,LOXL3,CXCL8,CDH13,CALB2
DENND2D,C11orf96,NPR1,LOXL4,CYB5R2,CLCF1,CARD11
DNAJA4,CA14,PCDH7,OLIG2,DEPDC7,CLMP,CCDC69
ENTHD1,CAPN3,PCSK6,PCDH1,DRD2,COL12A1,CCDC88C
EPHA5,CARD14,PLBD1,PRICKLE2,EHF,COL13A1,CDH4
FAM174B,CDK5R1,PRSS33,PTPRZ1,EML1,COL5A1,CDK15
FAM83H,CELF2,RAPGEF4,RFTN2,FAM135B,CCN1,CDYL2
FYB1,CHCHD10,RNASE1,SERPINA5,FAT3,DKK1,CITED2
GFOD1,CHCHD6,SCRG1,SLC35F1,FEZ1,DOCK5,CLU
GOLGA7B,CHL1,SELENBP1,SORCS1,FLT1,DPYD,CNN1
GPR143,CHN2,SEMA3E,SPRY4,FOXC2,EFNB2,COLEC10
H2AJ,CITED1,SOD3,,GDNF,ERRFI1,CORO6
HMOX1,CPN1,SORL1,,GLI2,F2RL2,CPA4
HSD17B14,CTTNBP2,TSPAN7,,HHEX,NALF1,CREB3L1
IL12RB2,NSG1,XYLT1,,IER3,FAM171A1,CRIM1
IL16,DAPK1,,,ITGB8,FAM20C,CYP2S1
KCNAB2,DCT,,,KIAA1755,FAM83G,DIO2
KCP,DSTYK,,,LRRC15,FBLIM1,DMBT1
LXN,DUSP15,,,MAP1LC3A,FJX1,DOCK2
MAPK4,ESRP1,,,MUC5B,FLNB,DSE
MAT1A,FAM167B,,,NES,FOSL1,EGFR
MLANA,DIPK1C,,,NRXN3,FOXF1,ELFN2
MYO1D,FCER1G,,,NTM,FZD2,F2RL1
NAV2,FCGR2B,,,OPRD1,GAS6,F3
NR4A3,FMN1,,,PCSK5,GATA3,INSYN2B
OCA2,GAB2,,,PHLDA2,GFRA1,FAT4
PRDM7,GALNT3,,,PLA2G7,GLIPR1,FERMT1
PRKCB,GAPDHS,,,PMEPA1,GPR176,FLNC
PRUNE2,GDF15,,,PXYLP1,HRH1,FMNL1
PYCARD,GHR,,,RAMP1,ID1,FOXA1
QPCT,GJB1,,,S100A6,IGFBP6,GALNT6
RGS12,GNPTAB,,,SEMA3B,IL11,GATA2
RNF144B,GPM6B,,,SERTAD4,IL1B,GDA
RNLS,GPNMB,,,SFRP1,IL31RA,GLIS2
